Intensity,X,Z,ImageIndex
2302.1396,18.211586,12.76203,2
2389.7849,12.047686,15.069662,2
2151.5706,16.790274,14.336554,2
2565.0283,14.325624,17.727331,2
1944.5594,21.705587,16.748831,2
3824.5022,9.6811943,19.537827,2
2050.1177,12.279081,19.358761,2
1962.3268,44.26635,20.427471,2
2346.2144,43.290119,22.12207,2
4190.2544,7.5518408,24.081755,2
2311.8069,13.143663,24.697397,2
2031.3312,16.142097,25.110712,2
1962.9734,41.88443,27.173044,2
2990.4202,5.903399,28.15711,2
2286.1641,42.071941,29.083176,2
2306.748,15.458342,30.904879,2
1816.3589,36.03199,30.781467,2
2262.2781,45.395992,32.276348,2
2165.4597,12.25401,33.324146,2
2256.4397,36.06152,34.076992,2
2611.2939,7.4690266,37.849056,2
2978.78,14.626014,37.920738,2
2139.0347,6.0809479,44.243546,2
1939.0353,32.53603,47.994537,2
2662.9297,6.7719145,50.321507,2
1869.2008,45.236404,50.117306,2
3001.6794,8.1127262,51.194836,2
1941.5884,9.2092791,51.602142,2
1785.4464,11.47567,52.579395,2
2071.9714,14.600019,52.331192,2
2551.8398,4.8306775,52.784298,2
1935.7411,13.715011,53.522686,2
1930.2958,54.254753,54.530964,2
2790.8525,1.593854,56.975018,2
2052.4854,19.05068,58.132004,2
1944.0023,16.939909,58.674168,2
2888.8254,47.089333,60.970287,2
2165.4761,14.176867,62.224518,2
2978.3567,19.72912,63.482018,2
1794.2617,26.359856,63.017563,2
2928.2998,10.088569,63.587692,2
4125.0459,21.580963,63.664009,2
1866.0569,34.376656,64.087524,2
3340.825,45.741909,64.084816,2
7325.7827,1.9556999,64.975548,2
2286.5103,24.346422,64.421059,2
2772.9023,47.085423,64.290207,2
1778.3428,9.3914862,67.476555,2
1763.5162,10.255735,71.228844,2
2009.2928,19.766455,70.98777,2
2825.9995,49.256275,74.542526,2
2664.7363,5.7065377,75.607635,2
1882.6306,37.338531,75.901939,2
2180.6926,11.337463,76.811317,2
1806.7274,30.210054,77.236404,2
2107.4285,36.766674,78.865112,2
1884.6219,7.5808973,79.712784,2
2318.3137,11.019197,90.617485,2
1776.1042,13.863912,91.404678,2
1939.3733,41.1828,92.631149,2
2231.8928,42.516842,92.961006,2
1790.6379,5.1660175,94.432327,2
1782.9109,16.778423,94.92202,2
1986.9807,45.746235,95.256134,2
2103.7449,10.036472,96.634163,2
3259.9395,4.628973,99.534828,2
6742.083,8.2080793,106.59162,2
5130.4429,10.0178,111.45724,2
2358.689,17.037859,112.01791,2
2063.7131,11.845901,113.86729,2
